386,191,274,405,2028,0
1286,538,851,1125,3453,0
13868,7298,7009,5901,9748,0
1137,519,1039,1352,4168,0
65,12,24,49,137,0
52579,27109,22184,20637,37401,0
1056,471,455,530,1219,0
37346,19608,16404,14711,27501,0
22,10,14,15,36,0
73,95,183,320,991,0
319,102,125,148,302,0
352,225,332,507,1370,0
392,165,194,238,636,0
7290,7419,8789,10080,19782,0
442,322,565,802,2617,0
67191,29963,23703,20852,36724,0
1356,617,604,658,1542,0
710,160,180,156,362,0
367,131,168,218,708,0
2,0,1,0,2,0
1952,1264,1707,2734,16383,0
412,316,442,613,2163,0
556,172,160,180,461,0
4390,1456,1577,1819,4782,0
1813,294,340,377,764,0
39,9,10,16,43,0
148,60,81,99,302,0
10918,6068,6028,5283,9261,0
1182,664,996,1646,7666,0
569,140,198,213,644,0
385,259,316,525,1778,0
24,7,10,10,27,0
131315,45114,35760,31036,58106,0
0,0,1,0,0,0
336,71,60,56,133,0
372,187,180,181,421,0
871,346,482,635,1747,0
0,1,0,0,0,0
1033,493,472,479,1071,0
435,139,150,201,567,0
6,0,2,1,9,0
297,43,57,52,160,0
178521,158253,30477,12828,72624,0
172,59,101,136,405,0
4398,1757,2448,3189,9026,0
805,124,123,147,294,0
56,6,10,13,16,0
252,64,122,183,883,0
670,290,297,307,571,0
373,143,165,239,707,0
342,160,180,288,753,0
344,297,443,657,2192,0
362,209,372,574,1710,0
362,113,117,134,297,0
311,175,254,405,1625,0
188,61,88,113,295,0
28871,29217,31371,24201,40748,0
17231,4514,4609,4601,9488,0
311,164,296,714,3176,0
8081,3861,3861,3707,6775,0
474,120,106,91,285,0
4366,1691,1879,2065,5166,0
31,16,11,15,40,0
12288,10794,11112,10924,25160,0
447,119,148,174,633,0
408,140,203,219,1078,0
564,245,278,412,1143,0
3984,1122,1067,875,1825,0
3294,1289,1486,1591,3037,0
12483,7136,6561,5970,10366,0
245,93,154,215,738,0
38,10,20,17,47,0
97435,32675,23855,18607,32334,0
54971,20720,15455,13123,24252,0
15132,3501,2838,2280,3561,0
169149,66709,65022,66739,125821,0
10387,5375,9949,16160,45020,0
273694,95680,49868,29232,35200,0
4,0,4,4,6,0
17931,12913,13817,17838,57921,0
4820,1186,1027,789,1173,0
776,169,225,221,509,0
18359,6851,5331,4175,7766,0
329,83,95,97,167,0
4133,1236,1057,930,1558,0
6134,1528,1278,1072,1769,0
2837,1011,1123,1331,3124,0
242,39,65,45,87,0
369,76,87,68,118,0
58,15,20,13,37,0
219,37,52,41,89,0
1225,210,210,164,275,0
597,410,629,1133,3793,0
1883,364,308,303,412,0
1520,295,244,220,337,0
1227,232,223,203,285,0
351,67,64,60,87,0
426,86,83,84,130,0
552,136,116,92,167,0
1234,267,246,206,312,0
8667,6571,7887,8286,17400,0
4274,2297,2998,3744,10409,0
1262,780,1089,1513,4827,0
736,220,191,245,492,0
790,467,711,999,3417,0
3955,1844,2724,3787,13526,0
17335,12894,16523,20329,49279,0
34136,19814,23392,26882,71160,0
54987,22996,16922,14135,39723,0
34095,20099,16249,15434,30827,0
23155,8996,4693,4141,10744,0
16715,7048,4019,3277,7244,0
206,139,385,1198,11830,0
2234,1166,1311,1382,3143,0
1062,427,713,977,3363,0
1457,1076,1623,2608,6632,0
56,16,21,25,100,0
372,87,79,67,115,0
158,58,80,81,149,0
217,67,80,118,308,0
43,18,24,46,98,0
80736,42457,38334,36095,71535,0
88,28,53,67,215,0
16470,17754,13334,11428,20325,0
0,0,0,0,0,0
7529,2916,1624,1258,1984,0
6761,1324,1381,1474,2786,0
2813,463,562,629,1537,0
0,0,2,0,0,0
3572,1868,1958,1973,4184,0
6548,1809,2003,2149,5561,0
3509,993,1494,2085,10416,0
1099,491,714,1145,6048,0
462,173,165,230,526,0
119,23,33,30,108,0
754,342,389,435,769,0
367,419,1555,1530,4145,0
2959,588,596,484,1078,0
1402,551,672,878,2535,0
3329,1421,1759,1907,5724,0
25358,55231,126333,209063,509497,0
4017,3362,3994,4159,8784,0
470,257,363,507,1373,0
8415,6088,8116,7220,9782,0
2431,8107,10494,8712,16970,0
1050,453,752,1005,3418,0
0,0,0,1,1,0
98,46,96,128,2041,0
53942,73700,88623,113742,280128,0
1027,6403,12680,11451,16025,0
3955,8555,10251,12438,44274,0
72,168,1259,4986,42821,0
27335,18349,19558,21736,45691,0
639,1418,2349,2572,9366,0
128,61,119,277,1150,0
10318,11812,16095,21860,72320,0
15862,5721,3896,3247,8122,0
252,74,89,113,291,0
34,46,66,106,389,0
3343,755,716,737,1519,0
671,237,1238,434,2566,0
1324,874,967,1220,2615,0
80,39,70,49,207,0
3048,1489,1671,1685,3430,0
50,13,30,31,225,0
2,1,5,5,63,0
22537,5508,6031,6469,12958,0
279,185,280,641,5696,0
3752,1656,1869,2151,5276,0
2514,741,950,1307,4372,0
1,2,3,1,12,0
94,29,34,55,169,0
13357,5680,7295,8600,21290,0
390,202,320,613,3717,0
8539,5733,5150,2854,4733,0
359,102,140,176,483,0
0,0,0,0,10,0
852,244,266,279,602,0
0,1,4,1,11,0
2598,1942,2449,2228,5385,0
552,222,306,403,1215,0
194,104,192,328,1310,0
41061,23020,24108,22828,42537,0
273,78,120,158,452,0
1827,863,933,1050,2206,0
178,58,67,94,325,0
330,109,120,166,680,0
2473,1408,1337,1347,3204,0
2108,737,725,707,1452,0
27,10,9,11,41,0
95677,39997,18873,8255,8732,0
260,94,115,124,433,0
84,17,15,22,84,0
9036,4325,5590,4591,8646,0
1932,322,408,478,970,0
7320,2823,2831,2928,6412,0
0,0,0,0,0,0
1721,615,892,1232,4552,0
2,1,0,8,44,0
2,1,3,0,3,0
1121,521,1042,1418,3008,0
1,0,2,0,0,0
543,199,244,273,729,0
4945,1542,1702,1555,2407,0
42,23,30,56,602,0
228951,115993,42130,17454,17798,0
340,51,66,66,194,0
21,11,22,11,48,0
96,83,84,124,478,0
2029,1231,1676,2676,14530,0
24,24,51,113,553,0
7286,5851,6019,6013,12986,0
54,18,27,33,108,0
0,0,1,2,0,0
0,0,0,0,0,0
15333,5453,4192,2958,4123,0
191,72,96,93,237,0
293686,126208,32946,14920,48044,0
96,30,56,52,206,0
5726,2213,1710,1208,1631,0
60174,31102,24914,23210,39773,0
2124,1300,1782,2039,4132,0
4387,1703,1728,4360,6982,0
17,4,1,6,11,0
31947,13336,15622,15629,27998,0
7947,4068,3656,3190,6663,0
468,144,165,165,456,0
0,0,0,0,0,0
10260,3448,3932,4182,9354,0
156,139,225,436,2286,0
9646,5790,5008,4372,7600,0
135879,44113,34464,30065,54335,0
1259,521,660,963,3312,0
1499,477,408,498,1114,0
479,130,200,215,651,0
2169,1146,1250,1427,3556,0
187,37,51,40,106,0
25,13,13,6,25,0
0,0,0,0,0,0
1615,503,508,790,2755,0
888,130,179,253,821,0
301,82,100,124,368,0
954,513,697,905,2971,0
1896,975,1281,1541,3727,0
0,0,0,0,3,0
322,136,182,220,702,0
2429,1012,2747,2977,14793,0
19273,13554,14717,15080,31519,0
940,235,270,361,1047,0
15748,8965,11221,12128,24645,0
12457,5043,5576,5566,10979,0
26868,17299,14455,16432,39225,0
358,120,124,150,463,0
99115,21866,21598,15629,27978,0
21588,20796,28443,26230,48341,0
3238,1421,1467,1862,3710,0
1325,689,1061,2221,11323,0
7769,9785,10780,14708,51790,0
169,51,74,88,268,0
56,30,21,41,101,0
407,286,398,590,2141,0
823,203,286,334,722,0
794,399,773,1529,8478,0
2852,1533,2160,2994,7617,0
135,126,183,222,680,0
2,2,4,6,24,0
199,125,188,259,655,0
6,3,2,1,5,0
52379,27486,22716,20730,38251,0
728,256,283,296,755,0
6618,7802,10038,14380,47139,0
9,5,4,2,12,0
128328,41156,31843,27858,51401,0
666,326,397,399,644,0
50,20,25,51,118,0
235,47,54,70,175,0
1632,636,693,672,1491,0
269,97,166,253,916,0
68,23,27,28,116,0
39,2,9,10,32,0
777,223,217,243,518,0
118,47,75,112,256,0
1030,531,888,1422,8770,0
0,0,0,5,29,0
6,6,3,4,9,0
83,15,27,32,82,0
274584,209925,49623,20071,69138,0
4121,2292,2510,2707,6399,0
89927,34707,28065,24208,43019,0
997,511,963,1714,10529,0
50,71,130,188,512,0
32660,27292,27261,28611,54352,0
573,247,299,313,927,0
0,0,1,3,20,0
400,175,193,257,721,0
60,16,10,10,28,0
23,9,3,12,25,0
206976,162690,35572,15900,62146,0
2769,2002,2133,2251,4388,0
375,251,418,737,2228,0
428,128,143,213,623,0
1207,575,862,1315,8037,0
247324,209807,46984,18424,71726,0
812,288,497,592,1738,0
311,73,98,140,331,0
0,0,0,0,0,0
253278,217969,46297,19676,113152,0
49,31,34,41,119,0
466,219,285,490,2303,0
93194,22860,21837,19926,34033,0
659,172,182,264,773,0
70,22,50,47,157,0
38,23,41,40,158,0
3885,775,1006,1186,3045,0
387,228,286,457,1493,0
5979,2074,2878,3569,8066,0
3119,3230,5991,9743,35281,0
4007,1827,1540,1536,3365,0
0,0,0,0,0,0
823,352,437,550,1272,0
17591,17735,13703,12005,22484,0
996,340,461,763,3267,0
2091,849,967,1436,4266,0
1741,324,404,468,1344,0
55011,24117,25510,26125,41307,0
9577,2589,1029,871,1649,0
44357,10048,10786,10960,23162,0
3301,1109,1239,1424,2930,0
6173,2274,2381,2281,3691,0
2947,467,537,634,1599,0
2101,720,697,644,1253,0
0,0,0,0,0,0
33147,10686,7361,5020,7213,0
101396,25443,24923,20800,38785,0
3612,2486,2206,1956,4450,0
12168,2601,3980,3897,11682,0
3989,1947,1783,2432,11107,0
1260,543,761,1287,6771,0
1087,391,449,424,980,0
6860797,2441371,1850300,1508706,2186433,0
317,118,180,223,688,0
562,195,242,256,658,0
27,50,76,144,472,0
105,30,28,40,97,0
336,350,1339,1501,4157,0
261,72,76,47,154,0
3448,639,556,461,1053,0
102615,23884,25420,22380,37786,0
82,26,45,74,268,0
4310,1482,2213,2700,9057,0
132284,230349,393505,536039,1344361,0
490,105,114,146,325,0
947,428,580,914,2765,0
1561,580,659,610,1018,0
375,255,316,451,1389,0
8891,5603,7919,7195,10005,0
5134,3747,4278,4330,8500,0
159489,240816,380490,514353,1193829,0
49078,10133,20841,9714,15375,0
36235,61355,89652,83508,166838,0
5,4,5,8,20,0
132,51,97,166,2093,0
395999,556876,742990,881243,2120642,0
218344,94465,103433,109815,256372,0
27036,59171,86774,89655,167022,0
7145,14291,20389,25859,82978,0
2763,17783,89635,240516,977903,0
264994,132482,123837,112167,213361,0
7145,14291,20389,25859,82978,0
153,38,33,15,57,0
2,2,1,5,8,0
7161,2239,2213,2054,3545,0
14158,308148,2375,1767,2889,0
23,12,23,24,305,0
16477,6251,5243,4818,10049,0
210516,128455,50037,19781,18276,0
334,71,68,79,174,0
4,2,2,2,24,0
207,183,220,223,631,0
4,19,42,87,492,0
7262,5596,5787,5687,12821,0
236,84,80,98,240,0
0,0,0,0,0,0
0,0,0,0,0,0
75,21,17,29,54,0
28,8,6,5,31,0
136,30,36,45,89,0
2254,1380,2621,4865,11723,0
108,35,48,80,363,0
211,70,80,90,241,0
275120,142757,38967,16260,49371,0
1713,331,372,443,1261,0
0,0,0,0,0,0
512,109,136,167,408,0
7518,2050,1445,983,1472,0
524,232,264,296,1011,0
8165,57790,29511,28673,37122,0
4968,1432,1626,4225,6759,0
20,2,3,3,15,0
0,0,0,1,1,0
20353,66298,64073,44310,58554,0
9522,4564,3830,3564,7186,0
414,103,146,161,453,0
0,0,0,0,2,0
6577,2716,2004,1515,2143,0
11176,2751,2590,2266,3952,0
16469,298482,5379,2744,4913,0
12167,3685,4032,4406,9571,0
177,128,246,482,2305,0
0,0,0,0,0,0
63809,58820,50245,39206,48228,0
1423,261,261,243,483,0
1880,635,934,1253,4201,0
1909,688,588,592,1318,0
2658,1500,1369,14396,20314,0
4740,1463,1901,2022,4838,0
11775,2814,4483,6161,13490,0
3048,1589,1466,3360,25477,0
88,18,12,13,76,0
600,156,175,241,701,0
2356,1171,1170,1563,4037,0
109543,231784,77213,87165,209123,0
3912,1575,2557,3776,11773,0
70,24,55,67,127,0
25,6,10,14,20,0
0,0,0,0,0,0
1477,346,540,582,2295,0
1523,297,426,557,1416,0
1,0,1,3,8,0
144,38,27,37,84,0
45955,26183,23385,20991,36038,0
5906,3622,3246,2567,5296,0
0,0,0,0,0,0
27877,282247,8723,4450,6114,0
2374,695,1018,2260,5616,0
819,391,593,845,2834,0
799,219,274,334,1317,0
84,48,70,183,865,0
2794,1345,1784,2403,6420,0
3997,3575,6977,19247,59589,0
43,13,16,19,55,0
4,2,10,6,41,0
2700,964,1153,1245,3042,0
1580,682,663,722,1540,0
1660,588,781,1033,4488,0
2461,934,2712,2732,14939,0
24527,14770,15658,15998,33073,0
734,160,194,229,723,0
18626,7285,10811,12518,26632,0
569059,154688,81173,63262,132411,0
375,188,301,471,2528,0
12714,10078,10709,9760,16754,0
1859,553,632,705,1664,0
81701,55470,37552,40044,109480,0
32387,9276,7491,8174,18993,0
1866,1006,1389,1995,8648,0
22,5,7,4,11,0
60,7,6,0,6,0
605,292,186,207,477,0
933,621,522,264,306,0
862,236,301,334,789,0
1690,221,208,216,475,0
6429,7552,3802,1593,2812,0
2036,361,392,413,1022,0
108,36,59,102,327,0
2777,2065,2140,2269,4586,0
13899,9000,7173,5591,9208,0
60970,30458,36543,30959,55049,0
627,77,95,121,258,0
2341,811,727,772,1662,0
246,58,61,54,85,0
867,72,67,92,187,0
108,39,76,184,921,0
76,57,111,176,746,0
3495,1742,1873,2004,5447,0
1387,660,861,929,2195,0
81017,60172,53824,60717,145815,0
1428,498,741,860,2571,0
210,36,48,53,177,0
839,191,215,260,700,0
132,92,216,420,1830,0
81,14,10,22,87,0
2,2,9,26,127,0
